path,outputPath,timestamp,original,title,length,digest
/SysDS/P/PokemonDiamondPearl.html,SysDS/P/PokemonDiamondPearl.html,20120920172857,http://vgmapper.com/SysDS/P/PokemonDiamondPearl.html,Pokemon Diamond and Pearl maps and media,1296,25N2BWK6BJ5DRLRY6ZYRPZ25CG4K7JUS
/SysDS/P/PokemonPlatinum.html,SysDS/P/PokemonPlatinum.html,20120920172857,http://vgmapper.com/SysDS/P/PokemonPlatinum.html,Pokemon Platinum maps and media,1411,R7LFFOPAU2JPHJ3LASV76VJHCCTC7RWM
/SysGB/(GameListGB.php,SysGB/(GameListGB.php,20101225074611,http://vgmapper.com/SysGB/(GameListGB.php,Game Boy maps and media,1052,KWFXCT76AWVNDVO7BUBWSTAHST5CE3Q6
/SysGB/A/AlienvsPredator.html,SysGB/A/AlienvsPredator.html,20111228235830,http://vgmapper.com/SysGB/A/AlienvsPredator.html,Alien vs Predator The Last of His Clan maps and media,1019,K3A3YV4QR3RYZAQBFGNKNGY56KYNEWFW
/SysGB/B/BionicCommando.html,SysGB/B/BionicCommando.html,20101102155754,http://www.vgmapper.com:80/SysGB/B/BionicCommando.html,Bionic Commando maps and media,992,KKA4MYEVAVGYWWWEHAFQPORWLT6QN6MV
/SysGB/D/DuckTales.html,SysGB/D/DuckTales.html,20100825142943,http://www.vgmapper.com:80/SysGB/D/DuckTales.html,Duck Tales maps and media,990,UJW57YOBS5RYNTUCW4KJPY5FVO6AX75F
/SysGB/D/DuckTales2.html,SysGB/D/DuckTales2.html,20100806213646,http://www.vgmapper.com:80/SysGB/D/DuckTales2.html,Duck Tales 2 maps and media,1025,HYID6DIHWXPWZTHZ43WBXBRRATLJJEDG
/SysGB/F/FinalFantasyAdventure.html,SysGB/F/FinalFantasyAdventure.html,20120502182552,http://www.vgmapper.com:80/SysGB/F/FinalFantasyAdventure.html,Final Fantasy Adventure maps and media,1141,YO4NZ4WZAAKNGVIR46P6CJZZE5Z77MXY
/SysGB/F/FortifiedZone.html,SysGB/F/FortifiedZone.html,20100606164356,http://www.vgmapper.com:80/SysGB/F/FortifiedZone.html,Fortified Zone maps and media,914,BWLSRSSKFK375TVCV3UZGOX7JIQCLWTA
/SysGB/G/GreatGreed.html,SysGB/G/GreatGreed.html,20100806213416,http://www.vgmapper.com:80/SysGB/G/GreatGreed.html,Great Greed maps and media,1034,QGN6IY4QUFXGESOFZL25CEU5RASDPADO
/SysGB/GBA.php,SysGB/GBA.php,20120601223555,http://vgmapper.com:80/SysGB/GBA.php,Game Boy maps and media,1331,JUSXLWJUU7X2KFSH4YMILHCDQSYLZH4Q
/SysGB/GBB.php,SysGB/GBB.php,20111228234047,http://vgmapper.com/SysGB/GBB.php,Game Boy maps and media,1477,NNV4SYY6L34WNN26AOSGIS76MGSIOTWH
/SysGB/GBD.php,SysGB/GBD.php,20111228232348,http://vgmapper.com/SysGB/GBD.php,Game Boy maps and media,1488,XOGY63HNENAJ5HF4PIL5LUCK7K37U4SK
/SysGB/GBF.php,SysGB/GBF.php,20120130054557,http://www.vgmapper.com:80/SysGB/GBF.php,Game Boy maps and media,1358,SHZNLHEVRNXNNTCEZB4P4QO2TA7KJ46P
/SysGB/GBG.php,SysGB/GBG.php,20111228225129,http://vgmapper.com/SysGB/GBG.php,Game Boy maps and media,1534,TEUR4NZK34TC55NGBBQROU3IAAQEDKVV
/SysGB/GBJ.php,SysGB/GBJ.php,20111228233828,http://vgmapper.com/SysGB/GBJ.php,Game Boy maps and media,1476,IMGHE74NAO74YLXKRK62FHGITGR347ZZ
/SysGB/GBQ.php,SysGB/GBQ.php,20111228224659,http://vgmapper.com/SysGB/GBQ.php,Game Boy maps and media,1470,QLRSERZ4NOBFPQRRRLQ3D4QZES5UKJXK
/SysGB/GBS.php,SysGB/GBS.php,20111228231606,http://vgmapper.com/SysGB/GBS.php,Game Boy maps and media,1493,4BA6BSA4SKARIPEZKFTK2RDY2VLE5PPL
/SysGB/J/JurassicPark.html,SysGB/J/JurassicPark.html,20100806213651,http://www.vgmapper.com:80/SysGB/J/JurassicPark.html,Jurassic Park maps and media,971,PPDJKTWCYJ72NQDP56HY5BOJCO44OUKK
/SysGB/S/SuperMarioLand2.html,SysGB/S/SuperMarioLand2.html,20100806010052,http://www.vgmapper.com:80/SysGB/S/SuperMarioLand2.html,Super Mario Land 2 maps and media,899,UNF5RDKKYYLL6LNHZR4IBSCZ4XD4D3FC
